r,Kmax,kd,spop_0,rpop_0,mse
0.060036454458731084,58.7,0.03388583491742121,58.7,3.2026269319973387e-09,0.8688952554995841
0.051811965831482384,33.08796812545427,0.02681524934054367,32.99911740312149,7.100202391346913e-05,6.2716800472541655e-06
0.1065357992961698,103.5386647017464,0.08018437461491917,97.59999999999997,5.5632768096256144e-14,21.759932164471532
0.02024261452204687,97.83793459253744,0.011431842663233785,86.08926727793686,0.49218008608729835,8.986487840154522
0.0255065083199702,61.0003657038374,0.01355059486213614,61.0,0.01156396145330222,3.639951776148955
0.07090841721795162,94.45334808497176,0.03654916917640257,90.98652703640809,0.0,9.613407657559025
0.04003988049336865,1000.0,0.04742140690125815,66.0,0.0005127314137790468,0.4623448973995741
0.06291015482742066,88.00009212904081,0.015661823243736342,88.0,0.0005156090560159247,34.126175536974685
0.020949955468755964,89.99290010251731,0.01178296259784112,88.9713651674241,0.00041547660257979077,14.394686048811053
0.031805678670695614,29.0,0.02008379113878305,28.99329168738791,6.389840673663604e-09,4.733572706496929
0.0737497512847059,120.38658440343659,0.04392629594122799,116.0,8.335131476623467e-12,21.120786510980473
0.11432573691488196,67.48617788782617,0.047120081743355295,57.9773742170441,0.0008444706377032807,0.0431994560870559
0.07787751976067575,62.00001204206448,0.016658738099973293,61.99864421585116,0.0,1.5444119745045921
0.014839441737726241,67.00007374909,0.010066798506008473,66.9748022205193,0.017506556620913778,12.630279316986359
