ID,Value
"('A1002', (0.02, 88.05000000000001, 10, 44.025000000000006, 14.675000000999997))","[0.020107529819413935, 66.60419840229883, 10.391865752198918, 50.77596567255545, 15.828213039064629, 1.5123216323886732]"
"('A1002', (0.02, 88.05000000000001, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561170092798063, 58.7, 1.0000981896737747e-09, 0.634531040597194]"
"('A1002', (0.02, 117.4, 1, 29.35, 29.350000001))","[0.01, 64.57000000000001, 2.0883178312987183, 58.64219094737332, 32.454156907690304, 1.0]"
"('A1002', (0.02, 117.4, 1, 44.025000000000006, 14.675000000999997))","[0.010289874223115537, 73.82677768804291, 1.2576965703151308, 58.7, 15.126117952381232, 0.3950876182328805]"
"('A1002', (0.02, 117.4, 1, 58.7, 1e-09))","[0.01867392933293207, 83.10672682189175, 1.0000000007881682, 58.7, 2.1781766615722987e-09, 0.567248150266939]"
"('A1002', (0.02, 117.4, 2, 29.35, 29.350000001))","[0.010177912450430822, 95.82380329383824, 1.6324209432171681, 58.7, 37.12427617093256, 0.39507728077410137]"
"('A1002', (0.02, 117.4, 2, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000002, 2.6560932549547864, 58.7, 1.0000000000000003e-09, 0.6345298622090418]"
"('A1002', (0.02, 117.4, 2, 58.7, 1e-09))","[0.01, 153.7968071051751, 1.4333995085957238, 58.7, 1.0000000000000003e-09, 0.44034186734091696]"
"('A1002', (0.02, 117.4, 5, 29.35, 29.350000001))","[0.01, 64.57000092918318, 1.3599245265109805, 47.480726356286624, 17.088734892316367, 0.3951429113079227]"
"('A1002', (0.02, 117.4, 5, 44.025000000000006, 14.675000000999997))","[0.01, 66.72238243792816, 1.136674541981707, 58.7, 8.023251749076163, 0.395072958087476]"
"('A1002', (0.02, 117.4, 5, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.656130765940449, 58.7, 1e-09, 0.6345298617804981]"
"('A1002', (0.02, 117.4, 10, 29.35, 29.350000001))","[0.01, 64.57000082309996, 14.170760830391986, 57.87052906638395, 6.699183227558894, 1.2958827471387115]"
"('A1002', (0.02, 117.4, 10, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000001, 1.1912020422536453, 58.7, 58.7, 0.25062770742892604]"
"('A1002', (0.02, 117.4, 10, 58.7, 1e-09))","[0.01, 64.57000000000002, 2.6561376658368037, 58.7, 1.000000030871988e-09, 0.6345298621817368]"
"('A1002', (0.02, 176.10000000000002, 1, 29.35, 29.350000001))","[0.01, 177.14349318103262, 1.3861931863137813, 58.7, 1.0000000000000003e-09, 0.4329217186545114]"
"('A1002', (0.02, 176.10000000000002, 1, 44.025000000000006, 14.675000000999997))","[0.01, 64.57000000000005, 1.3472858369695033, 47.92585198507142, 16.64467906616111, 0.3951626686780305]"
"('A1002', (0.02, 176.10000000000002, 1, 58.7, 1e-09))","[0.014408391962544786, 154.7846750743047, 1.0000000215630798, 58.7, 1.0120713686461253e-09, 0.6576612122810768]"
"('A1002', (0.02, 176.10000000000002, 2, 29.35, 29.350000001))","[0.01, 99.96206294416743, 1.7029449483797752, 58.7, 41.26158773297331, 0.39507189961432654]"
"('A1002', (0.02, 176.10000000000002, 2, 44.025000000000006, 14.675000000999997))","[0.010058767132024977, 76.654230222783, 1.305862355583058, 58.7, 17.954843077929805, 0.39509118486475125]"
"('A1002', (0.02, 176.10000000000002, 2, 58.7, 1e-09))","[0.01, 177.14335200923608, 1.3861936366042167, 58.7, 1.0000000002228994e-09, 0.43292171866851925]"
