ID,Value
"('A1006', (0.02, 88.05000000000001, 1, 44.025000000000006, 53.575000000999985))","[0.05826600242368611, 107.84462326764952, 2.2401198316646918, 26.858831096716212, 97.59999999909576, 0.10017715287228905]"
"('A1006', (0.02, 88.05000000000001, 1, 58.7, 38.90000000099999))","[0.01, 117.9356866255022, 1.252569494661727, 94.1546912599831, 23.779824712673552, 0.4115520912517468]"
"('A1006', (0.02, 88.05000000000001, 2, 29.35, 68.250000001))","[0.01, 129.34581859730434, 2.0541164860098773, 62.96855649264437, 66.3778648506128, 0.4115508247482263]"
"('A1006', (0.02, 88.05000000000001, 2, 44.025000000000006, 53.575000000999985))","[0.059747000452212484, 107.36, 4.498847586915804, 14.065867896239858, 97.59621122244778, 0.1257238191968099]"
"('A1006', (0.02, 88.05000000000001, 2, 58.7, 38.90000000099999))","[0.016877922318712796, 107.36, 1.8228028130854632, 58.89898732517226, 48.46060531521474, 0.44534939639543836]"
"('A1006', (0.02, 88.05000000000001, 5, 29.35, 68.250000001))","[0.3067555262054358, 107.36, 2.8530042037125614, 13.169215024236436, 97.31517729227953, 0.03340777312760114]"
"('A1006', (0.02, 88.05000000000001, 5, 44.025000000000006, 53.575000000999985))","[0.13862841812424254, 107.36, 1.3184998006679027, 55.266552733581136, 90.73585169572436, 0.04092476191843312]"
"('A1006', (0.02, 88.05000000000001, 5, 58.7, 38.90000000099999))","[0.01, 107.36, 1.2597692722953697, 95.21963369182032, 90.71399683481917, 0.31861288119039216]"
"('A1006', (0.02, 88.05000000000001, 10, 29.35, 68.250000001))","[0.010000006257548157, 107.36, 20.63918281864845, 9.506717096444255, 97.28578268565059, 0.6149695210548364]"
"('A1006', (0.02, 88.05000000000001, 10, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 15.537972726835878, 8.965360559347925, 97.59999980226694, 0.41801558863139054]"
"('A1006', (0.02, 88.05000000000001, 10, 58.7, 38.90000000099999))","[0.01, 107.36, 7.76863723433382, 97.6, 1.0000000000000003e-09, 0.341184097215396]"
"('A1006', (0.02, 117.4, 1, 29.35, 68.250000001))","[0.01, 107.36, 0.0, 97.6, 97.6, 0.3660340007143091]"
"('A1006', (0.02, 117.4, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 1.2481793993792942, 97.59995473169525, 97.59999999999741, 0.30870682551316025]"
"('A1006', (0.02, 117.4, 1, 58.7, 38.90000000099999))","[0.01, 111.95252541559496, 1.1722741816572086, 95.50092920241022, 16.452967400844635, 0.41155555442058195]"
"('A1006', (0.02, 117.4, 2, 29.35, 68.250000001))","[0.01, 131.5371167418977, 5.4972091422780185, 30.74659848481668, 97.59999732870985, 0.4322830431472734]"
"('A1006', (0.02, 117.4, 2, 44.025000000000006, 53.575000000999985))","[0.020816053770649663, 107.36, 2.408341591490559, 54.979050814205976, 61.50066816844294, 1.0000000000000002]"
"('A1006', (0.02, 117.4, 2, 58.7, 38.90000000099999))","[0.23433250835700703, 107.36, 2.0372802228451325, 12.157512057409793, 97.59951450079686, 0.023792279301676655]"
"('A1006', (0.02, 117.4, 5, 29.35, 68.250000001))","[0.02311333927716239, 107.36, 3.1958904495189113, 38.147202857970555, 67.87293175368147, 0.36008027040340307]"
"('A1006', (0.02, 117.4, 5, 44.025000000000006, 53.575000000999985))","[0.010761392170380132, 107.36, 2.428254319886188, 44.2122820692331, 63.14815614242234, 0.4115438017427408]"
"('A1006', (0.02, 117.4, 5, 58.7, 38.90000000099999))","[0.011216686112672082, 107.36242396817852, 1.7727977691480823, 60.56059169077166, 46.80241015687844, 0.41157274360503115]"
"('A1006', (0.02, 117.4, 10, 29.35, 68.250000001))","[0.033037682543590643, 107.36849697153457, 5.897032202350207, 20.087501667258884, 86.98462180997882, 0.35533379073142257]"
"('A1006', (0.02, 117.4, 10, 44.025000000000006, 53.575000000999985))","[0.014065870689076969, 107.36, 20.975519595495346, 32.26374918425029, 75.09514175404263, 1.2055145496703938]"
"('A1006', (0.02, 117.4, 10, 58.7, 38.90000000099999))","[0.01, 107.36, 7.768623992972966, 97.59999999999997, 1.0000000000000003e-09, 0.3411840971996463]"
"('A1006', (0.02, 176.10000000000002, 1, 29.35, 68.250000001))","[0.01, 107.36, 0.0, 97.6, 97.6, 0.3660340007143091]"
"('A1006', (0.02, 176.10000000000002, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36001672972196, 1.248175862338325, 97.59999653681993, 97.6, 0.30870682078468376]"
"('A1006', (0.02, 176.10000000000002, 1, 58.7, 38.90000000099999))","[0.010000465301951809, 129.25280901306115, 1.5143738134821825, 85.35046548193827, 43.90319479645393, 0.4115859499735423]"
"('A1006', (0.02, 176.10000000000002, 2, 29.35, 68.250000001))","[0.01, 107.36, 0.0, 56.259446926788875, 51.596678840953004, 0.41789486130162523]"
"('A1006', (0.02, 176.10000000000002, 2, 44.025000000000006, 53.575000000999985))","[0.01, 108.21773514481495, 2.654662612173282, 40.76570509627332, 67.45159593930917, 0.41156191263395175]"
"('A1006', (0.02, 176.10000000000002, 2, 58.7, 38.90000000099999))","[0.01470731015105452, 139.35567285749596, 1.8118524767035855, 76.91279612920853, 62.44335938664081, 0.41155387151857725]"
"('A1006', (0.02, 176.10000000000002, 5, 29.35, 68.250000001))","[0.010233417193471836, 134.9907692950664, 5.0885687837557505, 33.91312021949666, 97.59999951363014, 0.43279957132687374]"
"('A1006', (0.02, 176.10000000000002, 5, 44.025000000000006, 53.575000000999985))","[0.020835200466864427, 132.73945793034335, 2.890174418689011, 38.507305962919354, 97.53560180810399, 0.3718669954809641]"
"('A1006', (0.02, 176.10000000000002, 5, 58.7, 38.90000000099999))","[0.020222309917698862, 107.36000094035505, 5.5390793100551745, 67.02349185490627, 40.30105005206045, 1.2720972359910732]"
"('A1006', (0.02, 176.10000000000002, 10, 29.35, 68.250000001))","[0.01, 111.28919187463157, 11.489716272032162, 12.544671693182117, 97.59999999999445, 0.42010608620732404]"
"('A1006', (0.02, 176.10000000000002, 10, 44.025000000000006, 53.575000000999985))","[0.010000230338125415, 114.39791204531207, 1.5975999090049058, 71.6058406994203, 42.79281122137584, 0.4115842748216785]"
"('A1006', (0.02, 176.10000000000002, 10, 58.7, 38.90000000099999))","[0.021372992641007393, 107.3601015994116, 13.121215286456902, 97.55447481843989, 9.764232327707337, 1.6395761311604242]"
"('A1006', (0.05, 88.05000000000001, 1, 29.35, 68.250000001))","[0.01, 107.36, 1.2481830828268556, 97.59253767289043, 97.56693673989135, 0.3087448309784452]"
"('A1006', (0.05, 88.05000000000001, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36004223464383, 1.2482053523789887, 97.59905386922976, 97.59904472577799, 0.3087085335407993]"
"('A1006', (0.05, 88.05000000000001, 1, 58.7, 38.90000000099999))","[0.01, 107.3600027412681, 1.248194202437546, 97.59996256195264, 97.59960447172926, 0.30870724678144673]"
"('A1006', (0.05, 88.05000000000001, 2, 29.35, 68.250000001))","[0.01, 204.50748919823985, 2.0454901827422223, 70.83299866594271, 1.0000000000000003e-09, 0.3085149944557872]"
"('A1006', (0.05, 88.05000000000001, 2, 44.025000000000006, 53.575000000999985))","[0.04242128890522284, 107.36, 2.090289952823011, 51.36060756331081, 55.999520934202764, 0.41156325798105375]"
"('A1006', (0.05, 88.05000000000001, 2, 58.7, 38.90000000099999))","[0.03546304084902941, 107.36, 1.5792899737952983, 67.98050369600632, 39.379285431690214, 0.4115835183804218]"
"('A1006', (0.05, 88.05000000000001, 5, 29.35, 68.250000001))","[0.06894403762147078, 107.36, 5.368497789328055, 21.103617688984414, 86.1760055019709, 0.3463437503004005]"
"('A1006', (0.05, 88.05000000000001, 5, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 4.029998433606329, 26.785471925968345, 80.49128865924715, 0.4670088643214012]"
"('A1006', (0.05, 88.05000000000001, 5, 58.7, 38.90000000099999))","[0.0966919959163141, 107.36, 10.236580921907091, 43.97694282753788, 63.37885839556394, 1.6797505139102535]"
"('A1006', (0.05, 88.05000000000001, 10, 29.35, 68.250000001))","[0.01, 107.36, 15.598653064151147, 8.98038546089009, 97.59999999860631, 0.42438037858940314]"
"('A1006', (0.05, 88.05000000000001, 10, 44.025000000000006, 53.575000000999985))","[0.05707413761462493, 107.36, 18.704844776437454, 60.00963866009534, 47.34584632858337, 1.6794383088300144]"
"('A1006', (0.05, 88.05000000000001, 10, 58.7, 38.90000000099999))","[0.08330127153249825, 107.36, 10.566638098577975, 42.63553445953778, 64.72018180492884, 1.6810818754585]"
"('A1006', (0.05, 117.4, 1, 29.35, 68.250000001))","[0.01, 144.0617191626344, 1.67054460516506, 86.23601488091012, 57.8265018255285, 0.4115473577049691]"
"('A1006', (0.05, 117.4, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36001921673, 1.2481802522626673, 97.59994147292332, 97.6, 0.3087068649996819]"
"('A1006', (0.05, 117.4, 1, 58.7, 38.90000000099999))","[0.0794629503524967, 115.09134355338236, 1.070732268546072, 97.51271028504712, 97.23942955620973, 0.06448483334182284]"
"('A1006', (0.05, 117.4, 2, 29.35, 68.250000001))","[0.01, 122.18076581250943, 6.132763027618482, 25.62218890415201, 93.96621797374294, 0.429307110742495]"
"('A1006', (0.05, 117.4, 2, 44.025000000000006, 53.575000000999985))","[0.04281923114742091, 107.36, 2.155726172503262, 49.80156096530981, 57.5585614689444, 0.41153852701840654]"
"('A1006', (0.05, 117.4, 2, 58.7, 38.90000000099999))","[0.050471286438558687, 107.36, 2.1740879848747245, 68.03760514563018, 39.35956695421807, 1.0000000000000002]"
"('A1006', (0.05, 117.4, 5, 29.35, 68.250000001))","[0.0631414906412961, 107.36787391031527, 6.821481501540802, 16.68120394309868, 90.61527163851059, 0.34759435481982753]"
"('A1006', (0.05, 117.4, 5, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 6.603182829022766, 97.6, 9.655196370039917, 1.008176694259792]"
"('A1006', (0.05, 117.4, 5, 58.7, 38.90000000099999))","[0.09572151304579962, 107.4177445284918, 5.833282865303827, 88.25649105398244, 19.155502944676215, 1.6795987512793402]"
"('A1006', (0.05, 117.4, 10, 29.35, 68.250000001))","[0.06847784263834392, 107.36217892554163, 19.749045600672517, 31.368795541132073, 75.99017260073627, 1.6813122089150228]"
"('A1006', (0.05, 117.4, 10, 44.025000000000006, 53.575000000999985))","[0.08707144653397156, 107.36, 5.7105598352876665, 63.748178040094245, 43.571770408264825, 1.6837366824132927]"
"('A1006', (0.05, 117.4, 10, 58.7, 38.90000000099999))","[0.050741868568840255, 107.36009529941457, 13.298276230251151, 70.59790222009786, 36.75395317397229, 1.6834707242643026]"
"('A1006', (0.05, 176.10000000000002, 1, 29.35, 68.250000001))","[0.01, 281.8857239727928, 2.0740660872951935, 97.6, 1.0000000000000003e-09, 0.3039107249026602]"
"('A1006', (0.05, 176.10000000000002, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 2.811250588507331, 97.6, 82.3623552390911, 1.0000000000000002]"
"('A1006', (0.05, 176.10000000000002, 1, 58.7, 38.90000000099999))","[0.01, 281.8857836308674, 2.074065891129721, 97.6, 1.0000000000000003e-09, 0.303910724902673]"
"('A1006', (0.05, 176.10000000000002, 2, 29.35, 68.250000001))","[0.01, 107.38133300916573, 0.0, 39.66395624971929, 68.21360670523421, 0.4178948601340654]"
"('A1006', (0.05, 176.10000000000002, 2, 44.025000000000006, 53.575000000999985))","[0.01, 107.499253327236, 1.3934599169773167, 73.52660316150066, 97.59999999999056, 0.3271830772096776]"
"('A1006', (0.05, 176.10000000000002, 2, 58.7, 38.90000000099999))","[0.01, 157.56086959155647, 1.614358642365966, 97.5999999999998, 59.960006976043765, 0.41155665763774346]"
"('A1006', (0.05, 176.10000000000002, 5, 29.35, 68.250000001))","[0.01, 161.8371907504346, 2.4900286451659364, 64.99478455547725, 96.84183116879214, 0.41160326184090784]"
"('A1006', (0.05, 176.10000000000002, 5, 44.025000000000006, 53.575000000999985))","[0.01, 175.68255155302165, 1.8000352712494572, 97.59999999999974, 78.08174527225214, 0.4115523615551]"
"('A1006', (0.05, 176.10000000000002, 5, 58.7, 38.90000000099999))","[0.010046044921375634, 160.455600157098, 1.6467269150207158, 97.43947140980282, 63.01528064919535, 0.41156771943979625]"
"('A1006', (0.05, 176.10000000000002, 10, 29.35, 68.250000001))","[0.01, 107.43931537057274, 4.2163243242020245, 17.274719326737603, 97.59999999999997, 0.3930049853066431]"
"('A1006', (0.05, 176.10000000000002, 10, 44.025000000000006, 53.575000000999985))","[0.01, 147.17871278338345, 1.7441637084446298, 84.38312250658805, 62.796354161815984, 0.4115434044705062]"
"('A1006', (0.05, 176.10000000000002, 10, 58.7, 38.90000000099999))","[0.01, 107.3601002861947, 22.724105181378587, 97.59999999999991, 9.709233220416678, 1.293604622755694]"
"('A1006', (0.1, 88.05000000000001, 1, 29.35, 68.250000001))","[0.01, 281.885647721459, 2.0740663260802985, 97.59999999993136, 1.0000000000000003e-09, 0.3039107249026923]"
"('A1006', (0.1, 88.05000000000001, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 1.2481817596377787, 97.5998788091492, 97.59999999999472, 0.3087068807451685]"
"('A1006', (0.1, 88.05000000000001, 1, 58.7, 38.90000000099999))","[0.01, 281.8857273080166, 2.0740659432142388, 97.59999999999657, 1.0000000000000003e-09, 0.30391072490265075]"
"('A1006', (0.1, 88.05000000000001, 2, 29.35, 68.250000001))","[0.010019783755491965, 107.36, 2.728611125251477, 39.34659170891413, 68.01297250921185, 0.4116137270536878]"
"('A1006', (0.1, 88.05000000000001, 2, 44.025000000000006, 53.575000000999985))","[0.079305658847421, 107.36, 2.191230657136262, 48.99459129125164, 58.36547361361434, 0.41152313854585265]"
"('A1006', (0.1, 88.05000000000001, 2, 58.7, 38.90000000099999))","[0.10890772542561478, 107.36, 1.7597251591898604, 61.010217338188, 46.34972423172503, 0.411595521371406]"
"('A1006', (0.1, 88.05000000000001, 5, 29.35, 68.250000001))","[0.1134381264868719, 107.36, 5.008381843051922, 29.463457446877356, 77.89318514041827, 1.3716639982863872]"
"('A1006', (0.1, 88.05000000000001, 5, 44.025000000000006, 53.575000000999985))","[0.10680239882784173, 107.36, 7.839167859351585, 61.44329189923208, 45.91410053457916, 1.6794257766309857]"
"('A1006', (0.1, 88.05000000000001, 5, 58.7, 38.90000000099999))","[0.10211804597147059, 107.36, 5.725800297163897, 57.129981273431, 50.19696297779225, 1.6824207860371447]"
"('A1006', (0.1, 88.05000000000001, 10, 29.35, 68.250000001))","[0.09795324389612847, 107.36, 9.514867627184088, 32.506569312646825, 74.8255932738582, 1.68648245558007]"
"('A1006', (0.1, 88.05000000000001, 10, 44.025000000000006, 53.575000000999985))","[0.08908212213921804, 107.36, 10.62850716267279, 48.0509628541393, 59.30704350881625, 1.6800175435202223]"
"('A1006', (0.1, 88.05000000000001, 10, 58.7, 38.90000000099999))","[0.09550840911898381, 107.36, 10.514167678662844, 65.29785208923292, 42.061784579811516, 1.6792070852080354]"
"('A1006', (0.1, 117.4, 1, 29.35, 68.250000001))","[0.01, 281.8858674493823, 2.0740656014984085, 97.59999999999997, 1.0000000000000003e-09, 0.3039107249026596]"
"('A1006', (0.1, 117.4, 1, 44.025000000000006, 53.575000000999985))","[0.01, 131.89538028162613, 1.466134253589396, 89.96118415665129, 41.93510935947681, 0.41154759731890783]"
"('A1006', (0.1, 117.4, 1, 58.7, 38.90000000099999))","[0.14123633967631977, 107.49037175121799, 0.37703292919230447, 67.6442545211103, 43.56397273158072, 0.0328714969475015]"
"('A1006', (0.1, 117.4, 2, 29.35, 68.250000001))","[0.136332707597634, 107.52470211872128, 1.575799378660328, 54.34045687097827, 53.26324741445731, 0.11821235104155689]"
"('A1006', (0.1, 117.4, 2, 44.025000000000006, 53.575000000999985))","[0.09820369862312318, 107.36, 2.099200434972424, 51.14398477019061, 56.215961456387895, 0.4116010657796074]"
"('A1006', (0.1, 117.4, 2, 58.7, 38.90000000099999))","[0.09506833344460741, 107.36000730817752, 1.7032053366287654, 63.03341780309004, 44.32665906191747, 0.4115558072660636]"
"('A1006', (0.1, 117.4, 5, 29.35, 68.250000001))","[0.048708074971275606, 107.41382488918964, 13.464752693050336, 9.808702424818474, 97.5657398900135, 0.7711784059547536]"
"('A1006', (0.1, 117.4, 5, 44.025000000000006, 53.575000000999985))","[0.11606733707822295, 107.36, 5.571406538624849, 70.40206286286508, 36.954174338270185, 1.6792429576258592]"
"('A1006', (0.1, 117.4, 5, 58.7, 38.90000000099999))","[0.10248436963531421, 107.36000010528682, 5.013681423605659, 65.72164819883565, 41.60695103159223, 1.681904184564846]"
"('A1006', (0.1, 117.4, 10, 29.35, 68.250000001))","[0.10626613245389764, 107.36042845309734, 9.78335942767742, 32.53577127333742, 74.80958526209253, 1.6828164384114155]"
"('A1006', (0.1, 117.4, 10, 44.025000000000006, 53.575000000999985))","[0.10204358717047037, 107.36, 10.758077938864194, 49.11707847823085, 58.24170987910894, 1.6792583955445917]"
"('A1006', (0.1, 117.4, 10, 58.7, 38.90000000099999))","[0.09981283476560207, 107.36000000018814, 10.226813593951471, 64.54457798680755, 42.81438816747858, 1.6791235871609023]"
"('A1006', (0.1, 176.10000000000002, 1, 29.35, 68.250000001))","[0.01, 281.88582791569223, 2.07406565315143, 97.5999999999994, 1.0000000000000003e-09, 0.30391072490266796]"
"('A1006', (0.1, 176.10000000000002, 1, 44.025000000000006, 53.575000000999985))","[0.01, 107.36001415956582, 2.887144246853793e-13, 79.06541690516418, 28.790725931604594, 0.41789485689074585]"
"('A1006', (0.1, 176.10000000000002, 1, 58.7, 38.90000000099999))","[0.01, 150.99067361237286, 1.5502513698122447, 97.39727954274034, 53.59429771881504, 0.41155856480029623]"
"('A1006', (0.1, 176.10000000000002, 2, 29.35, 68.250000001))","[0.01, 138.24020678744233, 1.867000836496434, 74.04446595518822, 64.1950570501277, 0.41158329466976434]"
"('A1006', (0.1, 176.10000000000002, 2, 44.025000000000006, 53.575000000999985))","[0.01, 191.92286388884776, 1.9664347497846377, 97.59999999999997, 94.32211017040673, 0.4115763180302187]"
"('A1006', (0.1, 176.10000000000002, 2, 58.7, 38.90000000099999))","[0.01, 169.945011790731, 1.7412478730680867, 97.6, 72.34419553188349, 0.41156926663470234]"
"('A1006', (0.1, 176.10000000000002, 5, 29.35, 68.250000001))","[0.01, 130.56470678742545, 5.061876494792518, 33.102159819655824, 93.95115956154933, 0.43526458143269503]"
"('A1006', (0.1, 176.10000000000002, 5, 44.025000000000006, 53.575000000999985))","[0.01, 140.9934335887244, 1.775133019790805, 79.42739155056316, 61.565320183797795, 0.4115702956583748]"
"('A1006', (0.1, 176.10000000000002, 5, 58.7, 38.90000000099999))","[0.01, 139.27255680537536, 1.473950883982023, 94.4894353556202, 44.782190406225155, 0.41155129943642615]"
"('A1006', (0.1, 176.10000000000002, 10, 29.35, 68.250000001))","[0.01, 111.0213394209826, 11.609586807925062, 12.384906913444343, 97.50755733976445, 0.4200201005974739]"
"('A1006', (0.1, 176.10000000000002, 10, 44.025000000000006, 53.575000000999985))","[0.01, 107.36, 1.1174533812125302, 96.07458851281265, 11.283784152359724, 0.41164292054403123]"
"('A1006', (0.1, 176.10000000000002, 10, 58.7, 38.90000000099999))","[0.01, 161.1984404211846, 1.673985761061473, 96.29578153791252, 64.90355583223717, 0.41263553163381916]"
